OrderDetailID,OrderID,ProductID,Quantity,TotalAmount
1,1,98,4,46487.84
2,1,20,2,14081.06
3,1,221,3,21785.04
4,1,86,6,41464.74
5,1,246,2,16981.04
6,1,23,2,39430.62
7,2,181,2,20846.78
8,2,90,5,64778.8
9,2,188,6,59820.9
10,2,15,4,32053.28
11,2,9,6,23958.6
12,2,44,4,37468.64
13,3,227,5,44002.8
14,4,22,6,2316.0
15,4,100,2,4773.46
16,4,109,2,6394.5
17,4,98,5,58109.8
18,5,196,1,4255.94
19,6,138,6,51149.16
20,6,118,6,27808.68
21,7,135,5,85512.65
22,7,141,4,60371.28
23,7,182,1,19514.21
24,8,47,2,10299.22
25,8,180,2,12057.8
26,8,15,5,40066.6
27,8,235,6,88301.16
28,9,80,2,922.42
29,9,86,2,13821.58
30,10,162,2,8039.56
31,11,115,1,18529.38
32,11,242,6,87520.32
33,11,218,3,31281.69
34,11,197,1,15692.77
35,11,63,3,9261.15
36,12,202,4,64906.04
37,12,221,2,14523.36
38,12,240,3,49561.05
39,12,154,1,14849.15
40,12,205,1,6325.44
41,13,19,2,8979.76
42,14,163,1,11276.33
43,14,161,1,11136.11
44,14,230,6,29140.56
45,15,128,4,4239.32
46,16,199,4,29703.12
47,17,88,4,9402.04
48,17,148,5,10651.45
49,17,186,2,33022.86
50,17,83,5,4520.1
51,17,38,2,29632.86
52,17,161,4,44544.44
53,18,170,1,11474.95
54,18,141,6,90556.92
55,18,209,2,27952.06
56,19,47,4,20598.44
57,20,75,1,14850.39
58,20,208,4,56346.28
59,20,249,3,31530.3
60,20,91,3,58894.08
61,20,65,4,68926.0
62,21,153,6,104122.56
63,21,87,1,3105.83
64,22,27,4,71795.72
65,22,194,5,7033.3
66,23,129,4,19154.08
67,23,46,6,11961.3
68,23,247,3,1806.48
69,23,65,2,34463.0
70,23,197,5,78463.85
71,24,94,2,18168.68
72,24,109,5,15986.25
73,24,183,1,13275.67
74,24,65,2,34463.0
75,24,119,1,862.01
76,24,188,3,29910.45
77,25,102,5,99384.4
78,25,176,3,15214.2
79,25,242,5,72933.6
80,25,17,5,41047.9
81,25,28,3,10477.53
82,26,2,2,18897.62
83,26,227,4,35202.24
84,26,21,2,15086.56
