OrderID,CustomerID,OrderDate,OrderStatus
1,9710,2023-08-08,Delivered
2,4559,2023-03-20,Delivered
3,8690,2022-10-27,Delivered
4,3349,2024-06-02,Delivered
5,5419,2022-12-06,Delivered
6,8418,2024-12-23,Delivered
7,2588,2023-05-27,Delivered
8,2981,2021-08-01,Delivered
9,9889,2025-05-04,Delivered
10,7907,2022-01-04,Delivered
11,4073,2022-10-25,Delivered
12,4816,2023-02-05,Delivered
13,626,2025-04-30,Delivered
14,6489,2021-10-19,Cancelled
15,2111,2022-07-02,Delivered
16,4462,2022-12-06,Delivered
17,5394,2024-11-20,Delivered
18,6971,2025-04-22,Returned
19,3209,2022-10-28,Delivered
20,7857,2022-06-12,Delivered
21,4009,2022-08-08,Delivered
22,8597,2023-04-08,Delivered
23,8615,2022-01-20,Delivered
24,591,2023-01-22,Delivered
25,2278,2024-01-02,Delivered
26,2190,2023-10-24,Delivered
27,8071,2022-12-07,Delivered
28,8935,2025-03-05,Delivered
29,2881,2021-12-08,Delivered
30,1539,2022-01-21,Delivered
31,2930,2021-06-25,Delivered
32,5028,2024-11-27,Delivered
33,8511,2023-01-15,Cancelled
34,7460,2022-10-20,Delivered
35,958,2024-12-22,Delivered
36,6445,2022-01-08,Delivered
37,1914,2024-05-25,Delivered
38,3634,2022-02-16,Delivered
39,951,2024-09-02,Delivered
40,1197,2024-07-31,Cancelled
41,8745,2022-04-25,Delivered
42,8704,2022-05-16,Delivered
43,2605,2024-05-25,Delivered
44,3836,2023-01-06,Delivered
45,6037,2022-08-09,Delivered
46,5657,2024-11-17,Delivered
47,6835,2021-08-07,Delivered
48,4599,2023-06-24,Delivered
49,3481,2021-08-13,Returned
50,4758,2024-11-18,Delivered
51,5968,2021-07-07,Returned
52,3601,2024-01-24,Delivered
53,1817,2025-02-13,Returned
54,5791,2023-03-21,Delivered
55,7313,2024-07-22,Delivered
56,2834,2022-09-20,Delivered
57,9725,2022-04-14,Delivered
58,6493,2022-08-21,Returned
59,1935,2021-08-09,Delivered
60,1731,2022-06-10,Delivered
61,8397,2024-03-21,Delivered
62,4725,2024-07-16,Delivered
63,2290,2024-12-09,Delivered
64,4211,2022-11-09,Delivered
65,9750,2025-06-12,Delivered
66,3929,2024-09-03,Delivered
67,6225,2023-07-11,Delivered
68,8692,2022-03-22,Cancelled
69,9083,2021-12-06,Delivered
70,5074,2023-09-01,Delivered
71,2435,2025-03-24,Delivered
72,5715,2022-12-10,Delivered
73,8602,2022-06-12,Delivered
74,6420,2023-05-30,Delivered
75,3939,2021-11-15,Delivered
76,4985,2022-10-27,Delivered
77,872,2022-10-19,Delivered
78,8238,2023-06-18,Returned
79,8370,2023-07-04,Delivered
80,8693,2023-05-16,Returned
81,4004,2025-05-04,Delivered
82,7072,2024-11-22,Delivered
83,9201,2021-11-02,Cancelled
84,3119,2021-09-14,Delivered
85,9927,2024-07-06,Delivered
86,5497,2022-08-28,Delivered
87,2994,2024-09-08,Delivered
88,9882,2022-01-11,Delivered
89,8763,2023-04-20,Delivered
90,1507,2022-04-19,Delivered
91,8462,2022-06-28,Delivered
92,8877,2021-09-05,Delivered
93,1631,2021-09-18,Delivered
94,775,2021-08-27,Delivered
95,9366,2022-04-20,Delivered
96,419,2022-01-03,Delivered
97,8116,2022-08-15,Delivered
98,4282,2023-03-23,Delivered
99,8721,2023-04-28,Delivered
100,3534,2023-03-04,Delivered
101,274,2025-02-03,Delivered
102,1642,2023-03-02,Delivered
103,7396,2024-04-22,Delivered
104,2976,2023-04-22,Cancelled
105,6688,2025-02-26,Delivered
106,5365,2023-08-26,Delivered
107,2376,2022-05-09,Delivered
108,4953,2025-06-04,Delivered
109,9444,2022-06-28,Delivered
110,3742,2024-01-11,Delivered
111,583,2024-07-26,Cancelled
112,6986,2022-04-16,Delivered
113,5056,2022-05-28,Cancelled
114,8159,2022-01-18,Delivered
115,7603,2024-07-17,Delivered
116,2883,2023-09-28,Delivered
117,3135,2025-05-11,Returned
118,742,2023-12-11,Delivered
119,6809,2022-02-22,Delivered
120,1665,2021-11-25,Delivered
121,7055,2023-04-22,Delivered
122,2879,2023-07-18,Delivered
123,1742,2022-10-11,Delivered
124,4318,2022-01-17,Delivered
125,5603,2022-03-03,Delivered
126,1190,2024-04-23,Delivered
127,9402,2023-02-09,Delivered
128,502,2023-04-04,Delivered
129,5833,2021-09-11,Delivered
130,3394,2023-04-12,Cancelled
131,4053,2022-09-04,Returned
132,7205,2022-03-24,Delivered
133,549,2021-10-21,Delivered
134,4588,2024-05-03,Delivered
135,345,2023-02-28,Delivered
136,2518,2023-07-21,Delivered
137,8943,2022-03-21,Delivered
138,3778,2022-08-11,Returned
139,6756,2021-08-23,Delivered
140,8937,2022-10-28,Returned
141,3458,2023-09-16,Delivered
142,5845,2023-08-18,Delivered
143,1011,2022-10-02,Delivered
144,2191,2025-03-13,Cancelled
145,8916,2025-03-19,Cancelled
146,5625,2024-02-18,Delivered
147,6936,2021-09-29,Cancelled
148,6597,2023-03-26,Delivered
149,1447,2025-02-01,Delivered
150,4316,2023-11-13,Delivered
151,9775,2023-10-12,Delivered
152,6149,2024-10-02,Delivered
153,1278,2022-02-04,Delivered
154,1675,2024-12-27,Delivered
155,1101,2024-10-22,Delivered
156,6188,2023-11-23,Delivered
157,535,2024-06-14,Delivered
158,2967,2023-06-26,Cancelled
159,5515,2024-12-03,Delivered
160,3482,2022-09-14,Cancelled
161,3373,2023-11-15,Cancelled
162,4066,2022-09-21,Delivered
163,1732,2022-03-23,Delivered
164,978,2023-08-14,Delivered
165,6955,2025-02-10,Delivered
166,6628,2024-05-29,Delivered
167,316,2025-01-16,Delivered
168,3581,2025-06-12,Delivered
169,5957,2024-12-25,Delivered
170,5115,2022-09-19,Delivered
171,2989,2023-01-06,Delivered
172,3686,2023-07-18,Delivered
173,2858,2023-05-16,Delivered
174,9889,2022-06-29,Returned
175,4371,2022-09-16,Cancelled
176,8909,2022-10-29,Delivered
177,5984,2024-12-24,Delivered
178,2880,2022-02-21,Delivered
179,6302,2023-10-22,Delivered
180,7731,2023-12-02,Delivered
181,6349,2022-04-14,Delivered
182,5879,2024-07-27,Delivered
183,3644,2025-03-23,Delivered
184,1328,2024-02-28,Delivered
185,7793,2023-07-28,Delivered
186,6574,2023-08-14,Delivered
187,3775,2022-08-18,Delivered
188,8238,2024-06-15,Delivered
189,9163,2025-04-17,Returned
190,7130,2023-07-17,Delivered
191,6387,2023-05-24,Delivered
192,2414,2022-03-13,Delivered
193,491,2022-02-25,Delivered
194,4416,2024-03-17,Cancelled
195,8903,2024-01-28,Returned
196,414,2024-12-24,Delivered
197,6203,2023-05-02,Delivered
198,4401,2023-10-03,Delivered
199,2871,2022-06-17,Delivered
200,9530,2024-08-08,Delivered
201,1840,2022-03-10,Delivered
202,4749,2025-02-01,Delivered
203,446,2024-01-08,Returned
204,3920,2023-04-18,Delivered
205,9931,2025-02-11,Delivered
206,902,2023-08-19,Cancelled
207,9928,2021-11-23,Cancelled
208,3271,2024-11-27,Delivered
209,4057,2024-12-05,Cancelled
210,7857,2024-09-26,Delivered
211,6153,2021-12-14,Delivered
212,8998,2022-12-27,Delivered
213,4848,2024-06-27,Delivered
214,5437,2024-03-21,Delivered
215,7131,2025-04-22,Delivered
216,2078,2023-06-29,Delivered
217,300,2023-06-27,Delivered
218,316,2022-08-22,Delivered
219,6364,2022-09-16,Delivered
220,7345,2023-03-30,Delivered
221,3915,2025-03-27,Delivered
222,6821,2025-05-30,Delivered
223,3809,2024-03-09,Delivered
224,4621,2023-11-06,Delivered
225,6172,2022-07-10,Delivered
226,6771,2024-07-12,Delivered
227,1573,2022-07-02,Delivered
228,4624,2025-04-15,Cancelled
229,9544,2023-08-03,Returned
230,66,2024-09-14,Returned
231,7388,2024-08-27,Delivered
232,478,2021-11-04,Delivered
233,8234,2025-02-26,Delivered
234,9452,2024-04-30,Delivered
235,8496,2023-12-04,Delivered
236,2122,2024-06-30,Delivered
237,6592,2024-10-07,Delivered
238,7086,2022-12-02,Delivered
239,9226,2024-06-28,Returned
240,1461,2023-10-11,Delivered
241,233,2021-08-15,Delivered
242,8380,2024-01-18,Delivered
243,5849,2024-12-03,Delivered
244,8052,2022-03-28,Delivered
245,4896,2023-11-07,Delivered
246,8776,2021-10-09,Delivered
247,6498,2024-10-27,Delivered
248,1345,2021-09-06,Cancelled
249,538,2024-02-23,Returned
250,2771,2025-04-12,Cancelled
251,2781,2024-06-03,Delivered
252,10,2021-11-28,Delivered
253,8033,2024-10-19,Delivered
254,5669,2021-08-14,Delivered
255,2097,2023-06-29,Delivered
256,2137,2023-01-11,Delivered
257,3932,2022-04-12,Returned
258,1602,2024-11-08,Delivered
259,7643,2025-01-09,Delivered
260,8836,2022-05-27,Delivered
261,5264,2025-06-03,Delivered
262,6425,2024-06-28,Cancelled
263,5093,2022-12-25,Delivered
264,7195,2022-12-28,Delivered
265,8514,2023-03-05,Delivered
266,4462,2024-11-16,Delivered
267,5263,2024-01-20,Delivered
268,8658,2022-07-12,Delivered
269,1784,2024-09-26,Cancelled
270,7840,2023-08-25,Delivered
271,8625,2021-11-29,Delivered
272,8927,2023-07-08,Delivered
273,1118,2023-12-30,Delivered
274,8911,2021-11-13,Delivered
275,9326,2023-04-03,Delivered
276,3391,2021-08-06,Delivered
277,8191,2024-07-28,Delivered
278,2440,2021-07-24,Delivered
279,8,2024-03-09,Delivered
280,6101,2022-06-08,Delivered
